run_id,logged_at,event_subject,event_day,intent_protected,intent_label,intent_confidence,intent_reason,ai_action,ai_confidence,ai_reason,proposed_action,human_final_action,was_overridden,id,createdAt,updatedAt
78,2026-09-04T14:17:10.356Z,Team Sync,07.09.2026,TRUE,active_contribution,0.75,"You are the organizer of a small (3 other attendees) team sync. Organizer + small group is a clear signal the user likely drives the discussion or must actively contribute, so protect the event.",cancel,0.9,"You are the organizer of a non-recurring meeting with 3 other attendees and a response is requested. While you're out of office, canceling will notify all attendees and remove the event for everyone, which is the appropriate action for an organizer who cannot run the meeting.",keep,keep,FALSE,1,2026-09-04T14:17:10.476Z,2026-09-04T14:17:10.476Z
78,2026-09-04T14:17:10.356Z,Project Kickoff,07.09.2026,TRUE,active_contribution,0.9,"You are the organizer of a 'Project Kickoff' with five other attendees. Kickoffs typically require the organizer to lead the meeting, set direction and decisions, so there is a clear signal you must actively contribute.",cancel,0.9,"You are the organizer of a non-recurring Project Kickoff with 5 other attendees and responses are requested. As organizer, cancelling will notify all attendees and remove the event from their calendars while you are out of office.",keep,keep,FALSE,2,2026-09-04T14:17:10.476Z,2026-09-04T14:17:10.476Z
78,2026-09-04T14:17:10.356Z,Budget review,08.09.2026,FALSE,none,0.3,"Subject 'Budget review' may be important but does not clearly indicate the user must actively contribute, hold decision authority, or is attending a company-wide update. The user is not the organizer, there are 5 other attendees, and the event is non-recurring — insufficient clear signal for active_contribution, relationship_career, or stay_informed intents. Ambiguous importance, so do not protect.",decline,0.9,"You are an invitee (not the organizer), a response is requested, and this is a single meeting with a small number of attendees. Best action is to decline the invitation so others know you won't attend while you're out of office.",decline,keep,TRUE,3,2026-09-04T14:17:10.477Z,2026-09-04T14:17:10.477Z
78,2026-09-04T14:17:10.356Z,Cross-Team Planning,08.09.2026,FALSE,none,0.3,"Subject 'Cross-Team Planning' is ambiguous: it could require active contribution but the user is not the organizer and there are 13 other attendees (a mid-size group). No clear signal of the user presenting, chairing, being sole decision-maker, or that this is a high-level all-hands to stay informed. Insufficient evidence to confidently protect the event.",decline,0.9,"You are an invitee (not the organizer), a response is requested, and this is a single-instance meeting with many attendees. While out of office, the appropriate action is to decline so organizers and attendees know you won't attend.",decline,keep,TRUE,4,2026-09-04T14:17:10.478Z,2026-09-04T14:17:10.478Z
78,2026-09-04T14:17:10.356Z,Weekly (tbd),09.09.2026,FALSE,none,0.2,"Subject 'Weekly (tbd)' is vague and the user is not the organizer. The event is non-recurring in the metadata and has four other attendees—this could be a routine sync but there is no clear signal that the user must actively contribute, that it is career-critical, or that it is a large informative all-hands. Ambiguous intent, so do not protect.",decline,0.9,"You are an invitee (not the organizer), the event requests a response, and it's a single-instance meeting during your out-of-office period. Declining (with a note) is the appropriate action so others know you won't attend while leaving the event on others' calendars.",decline,keep,TRUE,5,2026-09-04T14:17:10.479Z,2026-09-04T14:17:10.479Z
78,2026-09-04T14:17:10.356Z,Quick Catch-Up,10.09.2026,FALSE,none,0.3,"Subject 'Quick Catch-Up' is vague and provides no clear signal of active contribution, career/relationship importance, or a company-wide informational event. The user is not the organizer and the meeting is small and non-recurring, so intent is ambiguous; therefore do not protect.",delete,0.9,"User is an invitee (not the organizer), the invitation does not request a response, and this is a one-off small meeting. Remove the event from the user's calendar only without notifying others.",delete,keep,TRUE,6,2026-09-04T14:17:10.480Z,2026-09-04T14:17:10.480Z
78,2026-09-04T14:17:10.356Z,Review with Prof. (Supervisor),10.09.2026,TRUE,relationship_career,0.9,"Subject explicitly names a professor and labels them 'Supervisor', indicating a career-critical review. The user is the organizer and there are only two other attendees, consistent with a one-on-one or small supervisory review where cancelling would carry professional cost.",cancel,0.9,You are the organizer and there are other attendees; while you are out of office you should cancel the meeting to notify and free attendees' time.,keep,keep,FALSE,7,2026-09-04T14:17:10.481Z,2026-09-04T14:17:10.481Z
78,2026-09-04T14:17:10.356Z,Focus Time (self),10.09.2026,FALSE,none,0.9,"Subject indicates personal 'Focus Time' with no other attendees. No clear signal of active contribution to others, relationship/career stakes, or a required all-hands informational event. Safe to allow decline/cancellation.",keep,0.9,"Event is a personal Focus Time where I am the organizer and there are no other attendees; nothing to cancel or decline for others, so leave it unchanged.",keep,keep,FALSE,8,2026-09-04T14:17:10.481Z,2026-09-04T14:17:10.481Z
78,2026-09-04T14:17:10.356Z,Company Town Hall,11.09.2026,TRUE,stay_informed,0.9,"Large company town hall (≈51 other attendees) is a company-wide update where attending to stay informed is important; user is one of many attendees and not the organizer, which matches the 'stay_informed' intent.",keep,0.9,"This is a company town hall with ~51 other attendees (an all-hands style event). The user is not the organizer and no response is requested. Such large, company-wide meetings are important to keep on the calendar to stay informed, so leave it unchanged.",keep,keep,FALSE,9,2026-09-04T14:17:10.482Z,2026-09-04T14:17:10.482Z
78,2026-09-04T14:17:10.356Z,Client Demo (you present),11.09.2026,TRUE,active_contribution,0.95,"Subject explicitly states the user will present in a client demo with several attendees. Presenting indicates an active, non-delegable role (driving content/delivery) and likely high cost to cancel.",decline,0.9,"You are an invitee (not the organizer), a response is requested, and the meeting is not a recurring/all-hands event. Declining will notify the organizer and leave the event for others; this is appropriate while you are out of office even though you are slated to present.",keep,keep,FALSE,10,2026-09-04T14:17:10.483Z,2026-09-04T14:17:10.483Z
